null,4.450073,0
aaa,4.4508147,0
bbb,4.4498324,0
cc,4.4499497,0
ff,4.4510136,0
zz,4.449955,0
vv,4.4494357,0
xx,4.433405,0
xx,4.4438577,0
qq,4.44986,0
aaaaaa,4.4498897,0
vvv,4.4499574,0
vvvv,4.433234,0
cccc,4.449892,0
cccc,3.0166614,0
ccc,4.433372,0
vvv,4.449259,0
nn,4.449965,0
ddd,4.4332485,0
cccc,4.4497523,0
fff,4.449967,0
bbb,2.4666631,0
bbb,22.499945,200
vvv,4.4427075,0
nnnn,4.4491563,0
iii,4.4499583,0
11,4.449932,0
bbb,4.437765,0
cc,4.43825,0
cc,3.0166209,0
blaba,16.4833,100
hhh,14.566518,0
rrr,28.933275,200
blabla,53.4833,500
123,4.433956,0
Lucas,19.466686,100
Antoine,4.4497886,0
Antoineaaaaaaaaaaaaaaaaaaa,21.083311,100
aaa,4.4334,0
ccc,4.4503894,0
bzajdhazkdj,4.4339137,0
qdsfhjaefhazhkjef,4.4331903,0
Leo suce des bites,7.4499497,100
epiepiepie,7.466257,100
123,4.8015366,0
123,5.6333,0
123,36.65027,200
blabla,48.104626,300
blabla,2.933387,0
blabla,14.815961,0
blabla,21.154743,100
blabla,24.316214,100
blabla,20.566515,100
Goat,2.7418094,0
Goat,4.0287714,0
Goat,2.0327291,0
Goat,9.283285,0
Goat,17.152367,0
Goat,5.0666676,0
Goat,8.566601,0
Goat,4.5498877,0
Goat,4.0166764,0
Goat,4.0500007,0
Goat,1.5166364,0
Goat,5.5665674,0
Goat,2.4998589,0
Goat,2.0332878,0
Speed,2.897006,0
Speed,2.0331352,0
Speed,2.0002565,0
Speed,19.255041,0
Juifax,1.0830708,0
test,4.9331126,100
test,0.6834739,0
test,12.399918,0
test,8.999965,0
speed,4.9254613,100
speed,23.595654,100
speed,15.516691,0
la gadji 'est une paqueta,4.446484,0
la gadji 'est une paqueta,21.083223,100
eliott,4.5589075,0
eliott,6.0832553,0
eliott,2.817262,0
eliott,15.516459,0
sssssssssssssssssssssssssss,17.939304,100
ccccccccccccccccccccccccccccccc,19.523722,100
Je ferme ma gueule,67.06856,600
Je ferme ma gueule,48.649986,300
Je ferme ma gueule,18.53293,0
Je ferme ma gueule,3.0000336,0
